accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution	F_coverage	G_coverage	genome_coverage
MN031695	MN031695.1	MN031695	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031696	MN031696.1	2017312788_8_37	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031697	MN031697.1	2017310594_12-48	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031698	MN031698.1	2017309975_12_47	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031699	MN031699.1	2017309733_12_46	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031701	MN031701.1	2017308920_12_45	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031702	MN031702.1	2017307539_12_44	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031703	MN031703.1	2017307065_12_43	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031704	MN031704.1	2017306911_12_42	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031705	MN031705.1	2017305899_12_41	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031706	MN031706.1	2017305888_12_40	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031707	MN031707.1	2017305651_12_39	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031708	MN031708.1	2017305296_12_38	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031709	MN031709.1	2017305141_12_37	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031712	MN031712.1	2017303893_12_34	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031713	MN031713.1	2017303625_12_33	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031714	MN031714.1	2017303169_12_32	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031715	MN031715.1	2017303072_12_31	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031716	MN031716.1	2017302931_12_30	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031717	MN031717.1	2017302926_12_29	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031718	MN031718.1	2017302333_12_27	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031719	MN031719.1	2017302320_12_28	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031720	MN031720.1	2017301995_13_30	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031721	MN031721.1	2017301767_13_29	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031722	MN031722.1	2017301755_13_28	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031723	MN031723.1	2017300475_13_27	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031724	MN031724.1	2017300474_13_26	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031725	MN031725.1	2017300369_13_25	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031727	MN031727.1	2016323400_13_22	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031728	MN031728.1	2016322134_13_21	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031729	MN031729.1	2016321933_13_20	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031730	MN031730.1	2016321575_13_19	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031731	MN031731.1	2016309134_4_24	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031732	MN031732.1	2016308767_4_23	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031733	MN031733.1	2016307958_5_22	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031734	MN031734.1	2016306457_5_24	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.011
MN031735	MN031735.1	2016306034_5_23	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031736	MN031736.1	2016305928_4_22	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031737	MN031737.1	2016305395_4_21	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031738	MN031738.1	2016305248_5_21	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031739	MN031739.1	2016305247_5_20	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN031740	MN031740.1	2016304912_4_20	2018-XX-XX	North America	USA			Homo sapiens	2020-03-03		Thielen et al		Thielen,B.K., Bye,E., Wang,X., Maroushek,S., Friedlander,H., Bistodeau,S., Christensen,J., Reisdorf,E., Shilts,M.H., Martin,K., Como-Sabetti,K., Strain,A.K., Ferrieri,P., Lynfield,R.		0.000	0.000	0.013
MN122627	MN122627.1	RSVB/Portugal/H6-4/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122628	MN122628.1	RSVB/Portugal/H6-8/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122629	MN122629.1	RSVB/Portugal/H6-12/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122630	MN122630.1	RSVB/Portugal/H6-14/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122631	MN122631.1	RSVB/Portugal/H6-16/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122632	MN122632.1	RSVB/Portugal/H11-3/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.325	0.022
MN122633	MN122633.1	RSVB/Portugal/H11-6/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122634	MN122634.1	RSVB/Portugal/H11-7/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122635	MN122635.1	RSVB/Portugal/H11-8/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122636	MN122636.1	RSVB/Portugal/H11-10/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122637	MN122637.1	RSVB/Portugal/H11-17/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122638	MN122638.1	RSVB/Portugal/H11-18/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122639	MN122639.1	RSVB/Portugal/H11-22/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122640	MN122640.1	RSVB/Portugal/H11-25/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122641	MN122641.1	RSVB/Portugal/H11-26/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122642	MN122642.1	RSVB/Portugal/H8-5/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122643	MN122643.1	RSVB/Portugal/H8-7/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122644	MN122644.1	RSVB/Portugal/H20-5/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122645	MN122645.1	RSVB/Portugal/H20-14/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122646	MN122646.1	RSVB/Portugal/H20-16/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122647	MN122647.1	RSVB/Portugal/H20-17/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.325	0.022
MN122648	MN122648.1	RSVB/Portugal/H20-21/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122649	MN122649.1	RSVB/Portugal/H20-22/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122650	MN122650.1	RSVB/Portugal/H4-7/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122651	MN122651.1	RSVB/Portugal/H4-11/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122652	MN122652.1	RSVB/Portugal/H4-12/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122653	MN122653.1	RSVB/Portugal/H4-18/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122654	MN122654.1	RSVB/Portugal/H4-20/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122655	MN122655.1	RSVB/Portugal/H4-21/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122656	MN122656.1	RSVB/Portugal/H19-8/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122657	MN122657.1	RSVB/Portugal/H19-11/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122658	MN122658.1	RSVB/Portugal/H19-16/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122659	MN122659.1	RSVB/Portugal/H19-20/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122660	MN122660.1	RSVB/Portugal/H17-2/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122661	MN122661.1	RSVB/Portugal/H17-7/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122662	MN122662.1	RSVB/Portugal/H17-10/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122663	MN122663.1	RSVB/Portugal/H17-15/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122664	MN122664.1	RSVB/Portugal/H17-17/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122665	MN122665.1	RSVB/Portugal/H14-5/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122666	MN122666.1	RSVB/Portugal/H7-13/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122667	MN122667.1	RSVB/Portugal/H7-19/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122668	MN122668.1	RSVB/Portugal/H7-20/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.325	0.022
MN122669	MN122669.1	RSVB/Portugal/H16-7/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.325	0.022
MN122670	MN122670.1	RSVB/Portugal/H16-9/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
MN122671	MN122671.1	RSVB/Portugal/H16-15/2017-18	2018-XX-XX	Europe	Portugal			Homo sapiens	2019-08-24		Saez-Lopez et al		Saez-Lopez,E., Cristovao,P., Costa,I., Pechirra,P., Conde,P., Guiomar,R.		0.000	0.340	0.022
